Comment,Designator,Footprint,LCSC
DRV2605L,U5,Pimoroni Haptic Buzz DRV2605L Driver,
SK6812MINI-E,D45,MX_SK6812MINI-E_REV,
SK6812MINI-E,D55,MX_SK6812MINI-E_REV,
SW_Push,SW29,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW46,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW2,Kailh_hotswap_only_MX-CHOC,
MountingHole_Pad,H5,MountingHole_M3,
SK6812MINI-E,D53,MX_SK6812MINI-E_REV,
SW_Push,SW27,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW14,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D74,MX_SK6812MINI-E_REV,
MountingHole_Pad,H4,MountingHole_M3,
SK6812MINI-E,D68,MX_SK6812MINI-E_REV,
SolderJumper_3_Open,JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,
PMW3360DM-T2QU,U4,PMW3360DM-T2QU,
Conn_01x08_Female,J3,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,
