Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,158.781275,-101.552078,0.0,bottom
C2,1uF,C_0805_2012Metric,158.781274,-99.185257,0.0,bottom
C3,4.7uF,C_0805_2012Metric,158.781276,-96.980079,0.0,bottom
C4,0.1uF,C_0805_2012Metric,158.781275,-94.694077,180.0,bottom
C5,0.1uF,C_0805_2012Metric,147.41,-57.94,90.0,bottom
D1,1N4148,D_SOD-123,65.368,-53.495,0.0,bottom
D2,1N4148,D_SOD-123,58.818082,-70.752078,2.0,bottom
D3,1N4148,D_SOD-123,41.679344,-54.750079,2.0,bottom
D4,1N4148,D_SOD-123,88.669346,-57.798077,2.0,bottom
D5,1N4148,D_SOD-123,80.033344,-75.070078,0.0,bottom
D6,1N4148,D_SOD-123,51.331346,-88.786077,2.0,bottom
D7,1N4148,D_SOD-123,36.091346,-73.292078,2.0,bottom
D8,1N4148,D_SOD-123,103.655344,-70.752078,2.0,bottom
D9,1N4148,D_SOD-123,94.511344,-87.262079,2.0,bottom
D10,1N4148,D_SOD-123,71.397345,-91.834079,0.0,bottom
D11,1N4148,D_SOD-123,81.303347,-124.092077,2.0,bottom
D12,1N4148,D_SOD-123,127.531346,-158.128078,2.0,bottom
D13,1N4148,D_SOD-123,117.371342,-87.008077,2.0,bottom
D14,1N4148,D_SOD-123,108.735344,-103.518079,2.0,bottom
D15,1N4148,D_SOD-123,86.637344,-104.280078,0.0,bottom
D16,1N4148,D_SOD-123,97.559345,-136.538079,2.0,bottom
D17,1N4148,D_SOD-123,147.089345,-159.906078,2.0,bottom
D18,1N4148,D_SOD-123,193.825347,-81.420078,-2.0,bottom
D19,1N4148,D_SOD-123,202.715343,-98.184078,1.0,bottom
D20,1N4148,D_SOD-123,224.305344,-99.200079,0.0,bottom
D21,1N4148,D_SOD-123,213.586331,-131.464751,-2.0,bottom
D22,1N4148,D_SOD-123,166.393346,-160.160078,-2.0,bottom
D23,1N4148,D_SOD-123,240.053346,-86.500077,-2.0,bottom
D24,1N4148,D_SOD-123,207.541345,-65.164076,-2.0,bottom
D25,1N4148,D_SOD-123,216.177344,-81.928078,-1.0,bottom
D26,1N4148,D_SOD-123,229.385345,-118.504079,-2.0,bottom
D27,1N4148,D_SOD-123,185.443343,-158.382079,-2.0,bottom
D28,1N4148,D_SOD-123,222.527345,-52.464079,-2.0,bottom
D29,1N4148,D_SOD-123,231.163346,-69.482078,-2.0,bottom
D30,1N4148,D_SOD-123,260.119346,-83.960079,-2.0,bottom
D31,1N4148,D_SOD-123,275.105346,-70.498079,-2.0,bottom
D32,1N4148,D_SOD-123,245.641344,-49.162078,-2.0,bottom
D33,1N4148,D_SOD-123,252.753343,-66.688079,-2.0,bottom
D34,1N4148,D_SOD-123,270.279346,-52.464078,-2.0,bottom
D35,1N4148,D_SOD-123,142.33,-137.442,-90.0,bottom
D36,1N4148,D_SOD-123,137.758,-137.442,180.0,bottom
D37,1N4148,D_SOD-123,142.33,-142.522,0.0,bottom
D38,1N4148,D_SOD-123,159.856,-137.442,0.0,bottom
D39,1N4148,D_SOD-123,159.856,-133.632,0.0,bottom
J1,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm-rev,127.852,-126.52,-45.0,bottom
J2,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm-rev,149.95,-124.624,0.0,bottom
R1,39,R_0805_2012Metric,158.781273,-106.124078,180.0,bottom
R2,10K,R_0805_2012Metric,158.781276,-103.838079,0.0,bottom
R3,10K,R_0805_2012Metric,142.33,-100.358,90.0,bottom
SW35,SW_Push,SW_SPST_Omron_B3FS-100xP,152.677347,-46.368078,180.0,bottom
U2,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,150.899347,-63.640078,90.0,bottom
U3,"TCR2EF19,LM(CT",SOT-23-5,159.035273,-91.646077,0.0,bottom
